"threat_id","group","stride","artifact","trust_boundary","scenario","evidence_requirement","selection_rationale","mitigation_family","artifact_family","attacker_capability","fpga_specific_rationale","evidence_status"
"SIP-1","Source/IP","Spoofing","Third-party IP","External IP provider/repository to project","Unverified or malicious IP is accepted as trusted design logic.","Provider identity; package digest; signed release; IP intake review","Retained: directly tied to IP artifact identity and external provider/repository intake boundary.","Supplier/IP assurance","source_ip","Present an IP package under a misleading provider identity or approval status.","Third-party IP becomes synthesizable hardware logic and propagates into downstream tool artifacts.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"SIP-2","Source/IP","Tampering","HDL or IP source","Repository/package/workspace to synthesis input","HDL/IP is changed before synthesis while preserving expected project structure.","Source digest; review record; dependency/IP metadata manifest","Retained: HDL/IP source integrity is an explicit transformation-input boundary.","Source integrity","source_ip","Modify HDL, packaged IP, or IP metadata before synthesis.","Source and packaged IP encode design intent before transformation.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"SIP-3","Source/IP","Information Disclosure","Proprietary HDL/IP","Repository/build storage/export boundary","HDL/IP leaks through repository, artifact storage, or build infrastructure.","Access log; repository policy; export record","Retained: confidentiality applies to proprietary HDL/IP artifacts across repository, storage, and export boundaries.","Confidentiality control","source_ip","Read or export proprietary HDL/IP from repositories, build storage, or release bundles.","HDL/IP exposes design value and reusable hardware structure.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"SIM-1","Simulation","Tampering/Repudiation","Verification collateral","Design model to verification evidence","Verification collateral is changed or cannot be tied to reviewed design evidence.","Testbench digest; simulation log; expected-result manifest","Retained: simulation collateral is documented development evidence and has a distinct design-model-to-evidence boundary.","Verification evidence integrity","simulation_verification","Modify testbenches, golden vectors, simulation models, scripts, logs, or simulation reports.","Simulation artifacts are development evidence before implementation and release.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"SIM-2","Simulation","Information Disclosure/Tampering","Simulation results and waveform evidence","Simulation-result store to verification/signoff evidence","Waveforms, result logs, coverage records, VCD/WDB/SAIF-style files, or simulator-written evidence are exposed, altered, or omitted outside the reviewed verification flow.","Result manifest; waveform/log digest; simulation command; access log","Retained after DFD coverage check: simulation result evidence is documented by vendor flows and has evidence requirements distinct from testbench/source collateral.","Simulation evidence confidentiality and integrity","simulation_verification","Read, alter, omit, or relabel simulation-result files, waveform records, simulator logs, or coverage/result evidence.","Simulation outputs can reveal internal hardware behavior and can support or undermine verification evidence before release.","retained threat-model synthesis grounded by audited simulation artifact evidence and distinct evidence-requirement fields"
"CFG-1","Constraint/Configuration","Tampering","Timing, pin, placement, or exception constraints","Design-review intent to tool invocation","Constraints are altered without corresponding reviewed design intent.","Constraint digest; change rationale; reviewer approval; exception/waiver record","Retained: constraint artifacts have FPGA-specific signoff meaning and can affect physical realization without HDL changes.","Configuration governance","constraint_configuration","Alter XDC/SDC/PDC/FDC/NDC constraints, timing exceptions, pin constraints, or waivers without review evidence.","Constraints affect physical realization and timing closure without changing HDL.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"CFG-2","Constraint/Configuration","Tampering","Tool options/scripts","Configuration authority to transformation run","Tool options or scripts alter optimization, hierarchy, seed, security settings, or generated artifacts.","Command manifest; option snapshot; tool version; security-option record","Retained: scripts, options, seeds, hierarchy controls, and security options shape generated FPGA artifacts.","Build recipe integrity","constraint_configuration","Alter scripts, tool options, seeds, hierarchy controls, security options, or implementation settings.","Tool configuration shapes netlists, reports, bitstream identity, and programming outputs.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"CFG-3","Constraint/Configuration","Denial of Service","Timing/resource objectives","Configuration authority to implementation feasibility","Constraint or configuration changes cause repeated closure or resource failures.","Constraint history; build-resource log; failure record","Retained: availability is tied to FPGA timing, routing, and resource closure rather than only host service uptime.","Availability governance","constraint_configuration","Introduce constraints/settings that cause repeated timing, routing, or resource failures.","FPGA availability can fail through timing/resource closure, not only host downtime.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"TENV-1","Tool Environment","Spoofing/Tampering","Tool binary, plugin, Tcl package, or build container","Toolchain environment to artifact transformation run","A substituted tool environment produces netlists, reports, or bitstreams that appear to come from the approved flow.","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","Retained after vendor-corpus refresh: tool binary, plugin, Tcl package, IP generator, or build-container identity forms a distinct transformation-environment boundary.","Toolchain environment provenance","constraint_configuration","Substitute or alter the EDA executable, plugin, Tcl package, IP generator, or build container used to produce artifacts.","EDA tools are representation transformers; environment identity can affect hardware artifacts even when HDL and constraints are unchanged.","retained threat-model synthesis grounded by artifact, boundary, and evidence-requirement fields"
"TENV-2","Tool Environment","Repudiation/Denial of Service","License state or license source","License source/state to tool or IP availability","A build or IP-generation step depends on an undocumented or ambiguous license source or license state, making build authorization or availability evidence unclear.","License file/server record; license report; feature log; build log","Retained after DFD coverage check: license files, license servers, license utilities, and license reports are documented toolchain dependencies, but the record is phrased as provenance/availability evidence rather than exploitability.","Tool/license provenance and availability","constraint_configuration","Change, hide, omit, or fail to record license-source or license-state evidence for a tool or IP-dependent build step.","License state can affect whether documented tools or IP-generating steps are available and whether a build can be explained later.","retained threat-model synthesis grounded by audited license-dependency evidence; not a vendor vulnerability claim"
