stage,artifact_family,stride,baseline_prompt,baseline_status,mapped_retained_threat_ids,rationale
HDL/IP Input,Source/IP Artifact,Spoofing,Apply Spoofing to HDL/IP Input.,direct_retained,SIP-1,IP provider identity maps directly to a retained source/IP record.
HDL/IP Input,Source/IP Artifact,Tampering,Apply Tampering to HDL/IP Input.,direct_retained,SIP-2,HDL/IP modification maps directly to source tampering.
HDL/IP Input,Source/IP Artifact,Repudiation,Apply Repudiation to HDL/IP Input.,requires_artifact_rewrite,RPT-2; REL-1,Useful only after rewriting as source-to-build or release-lineage evidence.
HDL/IP Input,Source/IP Artifact,Information Disclosure,Apply Information Disclosure to HDL/IP Input.,direct_retained,SIP-3,Proprietary HDL/IP disclosure is a retained record.
HDL/IP Input,Source/IP Artifact,Denial of Service,Apply Denial of Service to HDL/IP Input.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
HDL/IP Input,Source/IP Artifact,Elevation of Privilege,Apply Elevation of Privilege to HDL/IP Input.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Simulation,Simulation/Verification Artifact,Spoofing,Apply Spoofing to Simulation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Simulation,Simulation/Verification Artifact,Tampering,Apply Tampering to Simulation.,direct_retained,SIM-1; SIM-2,Simulation collateral or result modification maps to retained simulation records.
Simulation,Simulation/Verification Artifact,Repudiation,Apply Repudiation to Simulation.,direct_retained,SIM-1,Unattributed verification collateral maps to retained simulation evidence.
Simulation,Simulation/Verification Artifact,Information Disclosure,Apply Information Disclosure to Simulation.,direct_retained,SIM-2,Simulation result and waveform exposure is a retained record.
Simulation,Simulation/Verification Artifact,Denial of Service,Apply Denial of Service to Simulation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Simulation,Simulation/Verification Artifact,Elevation of Privilege,Apply Elevation of Privilege to Simulation.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Constraint and Configuration,Constraint/Configuration Artifact,Spoofing,Apply Spoofing to Constraint and Configuration.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
Constraint and Configuration,Constraint/Configuration Artifact,Tampering,Apply Tampering to Constraint and Configuration.,direct_retained,CFG-1; CFG-2,Constraint and option modification maps to retained configuration records.
Constraint and Configuration,Constraint/Configuration Artifact,Repudiation,Apply Repudiation to Constraint and Configuration.,requires_artifact_rewrite,RPT-2,Useful only after rewriting as constraint approval and downstream report lineage.
Constraint and Configuration,Constraint/Configuration Artifact,Information Disclosure,Apply Information Disclosure to Constraint and Configuration.,generic_or_no_distinct_record,,Mechanical STRIDE prompt lacks a distinct retained FPGA artifact/evidence record in the scoped catalog.
