vendor,script_path,command_or_api,script_search_terms,observed_in_script,role_in_experiment,official_source,local_version_evidence,mapped_records
AMD Vivado,run_all.ps1,vivado.bat -mode batch -source,vivado.bat;-mode batch;-source,yes,Invokes the Vivado batch Tcl flow that creates Vivado-native design artifacts.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,TENV-1;TRN-1;RPT-2
AMD Vivado,vivado/build_vivado.tcl,create_project,create_project;-part,yes,Creates an XPR project and records Vivado project metadata.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,CFG-2;TENV-1;REL-1
AMD Vivado,vivado/build_vivado.tcl,add_files sources_1,add_files -fileset sources_1;top.v,yes,Adds HDL source to the Vivado project source fileset.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,SIP-2;SIP-3
AMD Vivado,vivado/build_vivado.tcl,add_files sim_1,add_files -fileset sim_1;tb_top.v,yes,Adds verification collateral to the Vivado simulation fileset.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,SIM-1;SIM-2
AMD Vivado,vivado/build_vivado.tcl,add_files constrs_1,add_files -fileset constrs_1;top.xdc,yes,Adds XDC constraints to the Vivado constraint fileset.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,CFG-1;CFG-2;CFG-3
AMD Vivado,vivado/build_vivado.tcl,set_property top,set_property top;top_name,yes,Records top-module project metadata for source and simulation filesets.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,CFG-2;TRN-1
AMD Vivado,vivado/build_vivado.tcl,update_compile_order,update_compile_order -fileset sources_1;update_compile_order -fileset sim_1,yes,Updates project compilation order before synthesis and simulation evidence collection.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,CFG-2;SIM-1;TRN-1
AMD Vivado,vivado/build_vivado.tcl,launch_runs synth_1,launch_runs synth_1,yes,Executes the project synthesis run and creates run-state evidence.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,TRN-1;TRN-2;TRN-3
AMD Vivado,vivado/build_vivado.tcl,wait_on_run synth_1,wait_on_run synth_1,yes,Waits for and records project synthesis completion status.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,RPT-2;TRN-1
AMD Vivado,vivado/build_vivado.tcl,open_run synth_1,open_run synth_1,yes,Opens synthesized project state for checkpoint and report extraction.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,TRN-1;RPT-2
AMD Vivado,vivado/build_vivado.tcl,write_checkpoint,write_checkpoint,yes,Writes intermediate checkpoint artifacts for lineage and state evidence.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,TRN-1;TRN-2;RPT-2
AMD Vivado,vivado/build_vivado.tcl,report_utilization,report_utilization,yes,Emits tool report evidence used by signoff review.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,RPT-1;RPT-2;RPT-3
AMD Vivado,vivado/build_vivado.tcl,report_timing_summary,report_timing_summary,yes,Emits timing report evidence used by signoff review.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,RPT-1;RPT-2;RPT-3
AMD Vivado,vivado/build_vivado.tcl,launch_runs impl_1,launch_runs impl_1;-to_step route_design,yes,Executes the project implementation run through routing.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,TRN-1;TRN-2;TRN-3
AMD Vivado,vivado/build_vivado.tcl,wait_on_run impl_1,wait_on_run impl_1,yes,Waits for and records project implementation completion status.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,RPT-2;TRN-1
AMD Vivado,vivado/build_vivado.tcl,open_run impl_1,open_run impl_1,yes,Opens implemented project state for checkpoint report and bitstream extraction.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,TRN-1;RPT-2;BSD-1
AMD Vivado,vivado/build_vivado.tcl,report_drc,report_drc,yes,Emits design-rule report evidence used by signoff review.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,RPT-1;RPT-2;RPT-3
AMD Vivado,vivado/build_vivado.tcl,write_bitstream,write_bitstream,yes,Creates bitstream artifact evidence for identity and release checks.,https://docs.amd.com/r/2024.2-English/ug835-vivado-tcl-commands,../experiment_environment.csv,BSD-1;BSD-2;BSD-3
Intel Quartus Prime Pro,quartus/build_quartus.ps1,quartus_sh --version,$QuartusSh;--version,yes,Captures local Quartus shell version evidence.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,TENV-1;TENV-3
Intel Quartus Prime Pro,quartus/build_quartus.ps1,quartus_sh -t create_project.tcl,$QuartusSh;-t;create_project.tcl,yes,Invokes the Quartus Tcl project-construction flow.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,TENV-1;CFG-2
Intel Quartus Prime Pro,quartus/create_project.tcl,package require ::quartus::project,package require ::quartus::project,yes,Loads the Quartus project Tcl package used to create project metadata.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,CFG-2;TENV-1
Intel Quartus Prime Pro,quartus/create_project.tcl,project_new,project_new,yes,Creates the Quartus project and revision metadata.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,CFG-2;REL-1
Intel Quartus Prime Pro,quartus/create_project.tcl,set_global_assignment,set_global_assignment,yes,Records tool settings and source/constraint assignments in the project file.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,CFG-1;CFG-2;CFG-3
Intel Quartus Prime Pro,quartus/create_project.tcl,set_location_assignment,set_location_assignment,yes,Records pin/location assignment evidence.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,CFG-1;CFG-3;BSD-4
Intel Quartus Prime Pro,quartus/create_project.tcl,set_instance_assignment,set_instance_assignment,yes,Records IO-standard and instance assignment evidence.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,CFG-1;CFG-2
Intel Quartus Prime Pro,quartus/create_project.tcl,export_assignments,export_assignments,yes,Persists project assignment evidence for downstream compilation.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,CFG-2;RPT-2
Intel Quartus Prime Pro,quartus/build_quartus.ps1,quartus_sh --flow compile,$QuartusSh;--flow compile;top -c top,yes,Runs the Quartus compile flow that generates implementation reports and programming artifacts.,https://www.intel.com/content/www/us/en/docs/programmable/683432/22-4/compilation-with-quartus-sh-flow.html,../experiment_environment.csv,TRN-1;RPT-2;BSD-1
Microchip Libero SoC,libero/build_libero.ps1,libero.exe SCRIPT: LOGFILE:,$Libero;SCRIPT:;LOGFILE:,yes,Invokes the Libero Tcl flow and records the script log path.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,TENV-1;RPT-2
Microchip Libero SoC,libero/build_libero.tcl,new_project,new_project,yes,Creates a Libero FPGA project with device and project metadata.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,CFG-2;TENV-1
Microchip Libero SoC,libero/build_libero.tcl,import_files,import_files,yes,Imports HDL source into the Libero flow.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,SIP-2;SIP-3
Microchip Libero SoC,libero/build_libero.tcl,create_links,create_links,yes,Links SDC constraint evidence into the Libero flow.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,CFG-1;CFG-2;CFG-3
Microchip Libero SoC,libero/build_libero.tcl,build_design_hierarchy,build_design_hierarchy,yes,Builds design hierarchy before transformation steps.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,TRN-1;RPT-2
Microchip Libero SoC,libero/build_libero.tcl,set_root,set_root,yes,Defines the root module for the tool flow.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,CFG-2;TRN-1
Microchip Libero SoC,libero/build_libero.tcl,organize_tool_files,organize_tool_files,yes,Associates constraint files with synthesis placement and timing tools.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,CFG-1;CFG-2;RPT-2
Microchip Libero SoC,libero/build_libero.tcl,run_tool -name SYNTHESIZE,run_tool -name $tool_name;SYNTHESIZE,yes,Runs synthesis and creates transformation/report evidence.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,TRN-1;TRN-2;RPT-2
Microchip Libero SoC,libero/build_libero.tcl,run_tool -name PLACEROUTE,run_tool -name $tool_name;PLACEROUTE,yes,Runs place-and-route and creates implementation evidence.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,TRN-1;TRN-2;RPT-2
Microchip Libero SoC,libero/build_libero.tcl,run_tool -name VERIFYTIMING,run_tool -name $tool_name;VERIFYTIMING,yes,Runs timing verification and creates signoff report evidence.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,RPT-1;RPT-2;RPT-3
Microchip Libero SoC,libero/build_libero.tcl,run_tool -name GENERATEPROGRAMMINGDATA,run_tool -name $tool_name;GENERATEPROGRAMMINGDATA,yes,Generates programming-data evidence before export.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,BSD-1;BSD-3;DEP-1
Microchip Libero SoC,libero/build_libero.tcl,run_tool -name GENERATEPROGRAMMINGFILE,run_tool -name $tool_name;GENERATEPROGRAMMINGFILE,yes,Generates programming-file evidence before export.,https://www.microchip.com/content/dam/mchp/documents/FPGA/swdocs/libero/libero_soc_tcl_cmd_ref_ug_2025_2.pdf,../experiment_environment.csv,BSD-1;BSD-3;DEP-1
