"Threat ID","Group","Flow Stage","Asset","Threat Actor","Attack Surface","Attack Vector","STRIDE Category","Attack Scenario","Impact","Evidence","Mitigation","Verification Method","Assumption","Limitation","Attacker Capability","Why FPGA-Specific","Attacker Precondition","Impacted Security Property","Detection Evidence","Prevention Evidence","External Mapping"
"SIP-1","Source/IP","Source/IP","Third-party IP","Actor with the listed attacker precondition at the modeled boundary","External IP provider/repository to project","Present an IP package under a misleading provider identity or approval status.","Spoofing","Unverified or malicious IP is accepted as trusted design logic.","Untrusted logic enters synthesis as a trusted hardware component","Provider identity; package digest; signed release; IP intake review","Supplier/IP assurance","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Present an IP package under a misleading provider identity or approval status.","Third-party IP becomes synthesizable hardware logic and propagates into downstream tool artifacts.","Ability to publish, mirror, or substitute a third-party IP package","Authenticity","Provider identity check; package digest mismatch; dependency manifest review","Signed IP releases; approved provider list; IP intake review","SSDF supplier review; HBOM/SBOM component identity"
"SIP-2","Source/IP","Source/IP","HDL or IP source","Actor with the listed attacker precondition at the modeled boundary","Repository/package/workspace to synthesis input","Modify HDL, packaged IP, or IP metadata before synthesis.","Tampering","HDL/IP is changed before synthesis while preserving expected project structure.","Reviewed design intent diverges from synthesized hardware behavior","Source digest; review record; dependency/IP metadata manifest","Source integrity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Modify HDL, packaged IP, or IP metadata before synthesis.","Source and packaged IP encode design intent before transformation.","Write access to HDL/IP source, package cache, or workspace","Integrity","Source digest; code review record; synthesis input manifest","Protected branches; signed commits; source bundle approval","SSDF change control; SLSA provenance"
"SIP-3","Source/IP","Source/IP","Proprietary HDL/IP","Actor with the listed attacker precondition at the modeled boundary","Repository/build storage/export boundary","Read or export proprietary HDL/IP from repositories, build storage, or release bundles.","Information Disclosure","HDL/IP leaks through repository, artifact storage, or build infrastructure.","Proprietary hardware structure or IP composition is exposed","Access log; repository policy; export record","Confidentiality control","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Read or export proprietary HDL/IP from repositories, build storage, or release bundles.","HDL/IP exposes design value and reusable hardware structure.","Read access to repository, build artifacts, or release storage","Confidentiality","Repository access log; artifact download log; export record","Least privilege; artifact classification; encrypted storage","SSDF data protection; HBOM/SBOM access governance"
"SIM-1","Simulation","Simulation","Verification collateral","Actor with the listed attacker precondition at the modeled boundary","Design model to verification evidence","Modify testbenches, golden vectors, simulation models, scripts, logs, or simulation reports.","Tampering/Repudiation","Verification collateral is changed or cannot be tied to reviewed design evidence.","Verification evidence no longer corresponds to the reviewed design or cannot justify downstream signoff decisions","Testbench digest; simulation log; expected-result manifest","Verification evidence integrity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Modify testbenches, golden vectors, simulation models, scripts, logs, or simulation reports.","Simulation artifacts are development evidence before implementation and release.","Write access to testbenches, golden vectors, simulation models, expected-output files, or simulation logs","Integrity; Non-repudiation","Verification collateral digest; simulation command/log; expected-result manifest; review record","Signed verification collateral; reviewed testbench changes; reproducible simulation recipe; immutable simulation logs","SSDF verification evidence; SLSA provenance"
"SIM-2","Simulation","Simulation","Simulation results and waveform evidence","Actor with the listed attacker precondition at the modeled boundary","Simulation-result store to verification/signoff evidence","Read, alter, omit, or relabel simulation-result files, waveform records, simulator logs, or coverage/result evidence.","Information Disclosure/Tampering","Waveforms, result logs, coverage records, VCD/WDB/SAIF-style files, or simulator-written evidence are exposed, altered, or omitted outside the reviewed verification flow.","Simulation-result evidence can be leaked, altered, omitted, or disconnected from reviewed verification evidence","Result manifest; waveform/log digest; simulation command; access log","Simulation evidence confidentiality and integrity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Read, alter, omit, or relabel simulation-result files, waveform records, simulator logs, or coverage/result evidence.","Simulation outputs can reveal internal hardware behavior and can support or undermine verification evidence before release.","Read or write access to simulation results, waveform files, result logs, coverage records, or simulator-written evidence","Confidentiality; Integrity","Result manifest; waveform/log digest; simulation command; access log","Simulation-result classification; reviewed retention policy; protected artifact storage; immutable result manifests","SSDF verification evidence; SLSA provenance"
"CFG-1","Constraint/Configuration","Constraint/Configuration","Timing, pin, placement, or exception constraints","Actor with the listed attacker precondition at the modeled boundary","Design-review intent to tool invocation","Alter XDC/SDC/PDC/FDC/NDC constraints, timing exceptions, pin constraints, or waivers without review evidence.","Tampering","Constraints are altered without corresponding reviewed design intent.","Hardware implementation and signoff assumptions change without HDL changes","Constraint digest; change rationale; reviewer approval; exception/waiver record","Configuration governance","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Alter XDC/SDC/PDC/FDC/NDC constraints, timing exceptions, pin constraints, or waivers without review evidence.","Constraints affect physical realization and timing closure without changing HDL.","Write access to timing, pin, placement, or device constraints","Integrity","Constraint digest; target-device record; reviewer approval","Constraint baseline; mandatory review; target-device lock","SSDF configuration management"
"CFG-2","Constraint/Configuration","Constraint/Configuration","Tool options/scripts","Actor with the listed attacker precondition at the modeled boundary","Configuration authority to transformation run","Alter scripts, tool options, seeds, hierarchy controls, security options, or implementation settings.","Tampering","Tool options or scripts alter optimization, hierarchy, seed, security settings, or generated artifacts.","Transformation behavior changes while sources appear unchanged","Command manifest; option snapshot; tool version; security-option record","Build recipe integrity","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Alter scripts, tool options, seeds, hierarchy controls, security options, or implementation settings.","Tool configuration shapes netlists, reports, bitstream identity, and programming outputs.","Ability to modify tool options, scripts, seeds, or project settings","Integrity","Command manifest; option snapshot; tool version record","Reproducible build scripts; reviewed option changes; locked tool profile","SLSA build provenance; in-toto layout"
"CFG-3","Constraint/Configuration","Constraint/Configuration","Timing/resource objectives","Actor with the listed attacker precondition at the modeled boundary","Configuration authority to implementation feasibility","Introduce constraints/settings that cause repeated timing, routing, or resource failures.","Denial of Service","Constraint or configuration changes cause repeated closure or resource failures.","Build or release is delayed through repeated timing/resource failure","Constraint history; build-resource log; failure record","Availability governance","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Introduce constraints/settings that cause repeated timing, routing, or resource failures.","FPGA availability can fail through timing/resource closure, not only host downtime.","Ability to alter constraints or options that affect timing/resource closure","Availability","Failure logs; constraint history; resource-utilization reports","Constraint review; resource-budget checks; change rollback","SSDF change review"
"TENV-1","Tool Environment","Tool Environment","Tool binary, plugin, Tcl package, or build container","Actor with the listed attacker precondition at the modeled boundary","Toolchain environment to artifact transformation run","Substitute or alter the EDA executable, plugin, Tcl package, IP generator, or build container used to produce artifacts.","Spoofing/Tampering","A substituted tool environment produces netlists, reports, or bitstreams that appear to come from the approved flow.","Generated netlists, reports, or bitstreams may derive from an unapproved tool environment while inputs appear unchanged","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","Toolchain environment provenance","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Substitute or alter the EDA executable, plugin, Tcl package, IP generator, or build container used to produce artifacts.","EDA tools are representation transformers; environment identity can affect hardware artifacts even when HDL and constraints are unchanged.","Ability to substitute or alter an EDA executable, plugin, Tcl package, IP generator, runner image, or build container","Authenticity; Integrity","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","Pinned tool versions; installation manifest review; plugin allowlist; signed container/tool images; runner provenance checks","SLSA builder provenance; in-toto layout; SSDF toolchain integrity"
"TENV-2","Tool Environment","Tool Environment","License state or license source","Actor with the listed attacker precondition at the modeled boundary","License source/state to tool or IP availability","Change, hide, omit, or fail to record license-source or license-state evidence for a tool or IP-dependent build step.","Repudiation/Denial of Service","A build or IP-generation step depends on an undocumented or ambiguous license source or license state, making build authorization or availability evidence unclear.","Tool or IP-generation availability and build authorization cannot be explained after the run","License file/server record; license report; feature log; build log","Tool/license provenance and availability","Check the listed evidence requirements against artifact metadata, manifests, logs, or repository-visible records; no exploitability or expert-consensus claim is made.","The organization records artifact identity, actor identity, approval, derivation, or deployment evidence at the relevant FPGA toolchain boundary.","This record supports threat modeling and evidence review; it does not prove exploitability, detect a vendor vulnerability, or measure analyst effectiveness.","Change, hide, omit, or fail to record license-source or license-state evidence for a tool or IP-dependent build step.","License state can affect whether documented tools or IP-generating steps are available and whether a build can be explained later.","Ability to change, hide, omit, or fail to record license-source or license-state evidence for a tool or IP-dependent build step","Availability; Non-repudiation","License file/server record; license report; feature log; build log","Recorded license source; license-state manifest; build-log retention; explicit license dependency review","SSDF configuration management; SCRM dependency provenance"
