"known_threat_surface","prior_source_category","catalog_record_or_decision","evidence_requirement","disposition"
"Malicious or substituted CAD/EDA toolchain component","EDA/CAD toolchain and electronics supply-chain attack literature","TENV-1; TRN-1; TRN-2; RPT-2","Tool/image digest; installation manifest; runner provenance; transformation lineage; source-to-bitstream digest chain","covered as tool-environment identity and transformation-lineage records"
"Constraint manipulation or unsafe tool-flow configuration","FPGA CAD attack-surface and tool-flow manipulation literature","CFG-1; CFG-2; CFG-3; TRN-2","Constraint digest; review approval; option snapshot; target-device record; route/checkpoint lineage","covered as configuration and implementation-state records"
"Intermediate netlist, checkpoint, or implementation-state manipulation","FPGA design-flow and malicious-tool literature","TRN-1; TRN-2; RPT-2","Input-output digest chain; synthesis or implementation log; checkpoint digest; release attestation","covered as transformation integrity and build-lineage records"
"Report, waiver, or signoff evidence manipulation","Design-assurance, CAD/tool-flow, and signoff-evidence literature","RPT-1; RPT-2; CFG-1","Report digest; generator command; timestamp; waiver/exception record; source-to-report lineage","covered as report integrity and provenance records"
"Bitstream substitution, replay, or direct modification","Bitstream-lifecycle and bitstream-manipulation literature","BSD-1; BSD-2; BSD-3; RPT-2","Bitstream digest; signature where configured; release manifest; key-handling record; programming log","covered as bitstream identity, confidentiality, authority, and lineage records"
"Unauthorized signing, release promotion, or artifact publication","Software/hardware supply-chain provenance and signing guidance","BSD-3; REL-1; REL-2","Signer identity; release approval; release manifest; workflow identity; service-account identity; attestation","covered as release/signing authority and release-provenance records"
"Programming target spoofing or unauthorized programming","FPGA guidance on programming, configuration authentication, update, and deployment records","BSD-4; DEP-1","Target identity; programmer identity; programming log; readback/status log; rollback record","covered as programming-target authority and deployment-evidence records"
"IP-package identity, IP metadata, or IP-XACT manipulation","IP-protection and IP packaging/security literature","SIP-1; SIP-2; SIP-3; CFG-1","Provider identity; package digest; dependency/IP metadata manifest; source digest; access log","covered as source/IP identity, source integrity, confidentiality, and constraint subcases"
"Side-channel leakage, invasive extraction, cryptanalysis, or chip-level fault injection","Runtime, physical, and device-level FPGA attack literature","out of scope unless the development flow creates or releases the enabling artifact","Not applicable to the core toolchain artifact-evidence tuple; use source, report, bitstream, or release records only when a toolchain artifact is involved","excluded from core catalog by scope rule"
"Partial-reconfiguration persona or partition mismatch","FPGA configuration and bitstream-lifecycle literature","scope extension; candidate subcase unless the evaluated flow includes partial-reconfiguration artifacts","Partition/persona manifest; partial-bitstream digest; compatibility record; deployment log","deferred as future scope because the core representative flow does not evaluate a partial-reconfiguration corpus"
