"candidate_id","source","stride","flow_stage","candidate_scenario","artifact_grounded","boundary_grounded","evidence_mappable","fpga_specific","disposition","mapped_threat_id","rationale"
"SIP-1","Artifact-provenance derivation","Spoofing","HDL/IP Input","Unverified third-party IP is accepted as trusted hardware logic.","yes","yes","yes","yes","retained_distinct","SIP-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"SIP-2","Artifact-provenance derivation","Tampering","HDL/IP Input","HDL or IP source is changed before synthesis while preserving expected project structure.","yes","yes","yes","yes","retained_distinct","SIP-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"SIP-3","Artifact-provenance derivation","Information Disclosure","HDL/IP Input; CI/CD","Proprietary HDL or IP leaks through repository, artifact storage, or build infrastructure.","yes","yes","yes","yes","retained_distinct","SIP-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"SIM-1","Artifact-provenance derivation","Tampering; Repudiation","Simulation","Verification collateral, golden vectors, simulation models, or simulation reports are changed or cannot be tied to reviewed design evidence.","yes","yes","yes","yes","retained_distinct","SIM-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"CFG-1","Artifact-provenance derivation","Tampering","Constraint and Configuration","Timing, pin, or placement constraints are altered without HDL changes.","yes","yes","yes","yes","retained_distinct","CFG-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"CFG-2","Artifact-provenance derivation","Tampering","Constraint and Configuration; Synthesis","Tool options or scripts alter optimization, hierarchy, seed, or generated artifacts.","yes","yes","yes","yes","retained_distinct","CFG-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"CFG-3","Artifact-provenance derivation","Denial of Service","Constraint and Configuration","Constraint or configuration changes cause repeated timing-closure or resource failures.","yes","yes","yes","yes","retained_distinct","CFG-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"TRN-1","Artifact-provenance derivation","Tampering","Synthesis","Generated netlist or synthesis checkpoint is modified or substituted.","yes","yes","yes","yes","retained_distinct","TRN-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"TRN-2","Artifact-provenance derivation","Tampering","Placement and Routing","Implementation checkpoints, seeds, or route databases are manipulated or stale state is reused.","yes","yes","yes","yes","retained_distinct","TRN-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"TRN-3","Artifact-provenance derivation","Denial of Service","Placement and Routing","Implementation is delayed or blocked through resource exhaustion or pathological constraints.","yes","yes","yes","yes","retained_distinct","TRN-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
