id,candidate,decision,mapping,reason,add_main_record
GA-03,Debug instrumentation or probe insertion,covered_subcase_needs_text,"SIP-2, CFG-2, RPT-3, BSD-2","If debug cores/probes are introduced through HDL/IP, debug configuration, reports/logs, or bitstream/debug metadata, existing records cover the artifact and boundary. Main text should name the subcase because AMD UG908 and Intel Debug Tools make debug artifacts visible in the audited vendor-documentation corpus; the generated tool-run inventory contains no debug artifacts because the controlled designs insert no debug cores.",no
GA-04,Bitstream-generation security-option tampering,covered_subcase_needs_text,"CFG-2, BSD-2, BSD-3",Security-relevant bitstream-generation options are tool options/configuration unless the actor abuses release/signing authority or exposes key material. Main text should name encryption/signing/security-option examples where configured.,no
GA-05,"EDA tool binary, plugin, or container image substitution",retained_main_record_after_vendor_refresh,TENV-1,"This is not a vendor vulnerability claim. The post-refresh vendor-corpus analysis treats it as a tool-environment provenance threat: the EDA executable, plugin, Tcl package, IP generator, or build container can affect generated netlists, reports, or bitstreams and therefore forms a distinct transformation-environment boundary.",yes
GA-06,IP packaging metadata or IP-XACT tampering,covered_subcase_needs_text,"SIP-1, SIP-2","Packaged IP metadata affects IP identity/intake and source integrity. It should be named as IP package metadata, VLNV, or IP-XACT evidence, but does not need a separate main record.",no
GA-07,Report waiver or exception tampering,covered_subcase_needs_text,"CFG-1, RPT-1, RPT-2","Waivers/exceptions affect signoff evidence and can be handled through constraints, report tampering, and lineage. Name waiver/exception evidence explicitly.",no
GA-08,Release rollback or stale artifact deployment,covered_subcase_needs_text,"BSD-1, BSD-4, REL-1","Stale bitstream relabeling is already a bitstream substitution case, and rollback needs release/provenance and programming-target evidence. Name rollback/downgrade explicitly.",no
GA-09,Partial-reconfiguration partition/persona mismatch,scope_extension,Future extension of BSD-1/RPT-2,FPGA-specific but not uniformly in the core representative flow. Keep as future/supplemental unless the paper claims partial-reconfiguration coverage.,no
GA-10,HLS or model-based source tampering,scope_extension_if_hls_expanded,SIP-2/RPT-2 if HLS is declared in source scope,"Current source scope mentions HDL/IP and sometimes HLS. If HLS remains in the system model, explicitly say HLS is treated as source/IP input; otherwise remove HLS from broad claims.",no
GA-11,License server or entitlement denial of service,keep_out_or_operational_note,Outside artifact-centered core unless tied to release/build artifact availability,Operationally relevant to EDA but less artifact-centered than timing/resource closure or route-resource exhaustion.,no
GA-12,Target-device or board-definition manipulation,covered_subcase_needs_text,"CFG-1, CFG-2; BSD-4 at deployment","Changing the project part, device family, speed grade, package, or board/pin settings builds the design under wrong target assumptions. The generated corpus exposes build-target identity only inside settings files already mapped CFG-1;CFG-2;CFG-3 (Quartus QSF FAMILY/DEVICE assignments, Vivado XPR Part option; the XPR BoardPart field is empty, so no board-revision artifact exists in the corpus), carried by the option snapshot and target-device record; spoofing the physical programming target at deployment remains BSD-4.",no
GA-13,Simulation-synthesis model divergence,covered_subcase_needs_text,"SIP-2, SIM-1, TRN-1","Simulation-only constructs (translate_off/translate_on regions, synthesis pragmas, simulation-only or black-box models) enter as HDL/IP source changes (SIP-2) or verification-collateral changes (SIM-1); synthesis logs and netlist lineage are already carried by TRN-1/RPT-2 mappings. The distinguishing equivalence-check requirement is absent from the evaluated corpus (the flows run no formal equivalence checking), so the candidate fails the reconciliation test as a separate record; equivalence-check evidence is a scope extension.",no
