threat_id,vendor,required_evidence,native_tool_output,manifest_required,evidence_status,limitation
"SIP-1","AMD Vivado","Provider identity; package digest; signed release; IP intake review","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-2","AMD Vivado","Source digest; review record; dependency/IP metadata manifest","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-3","AMD Vivado","Access log; repository policy; export record","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIM-1","AMD Vivado","Testbench digest; simulation log; expected-result manifest","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"SIM-2","AMD Vivado","Result manifest; waveform/log digest; simulation command; access log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"CFG-1","AMD Vivado","Constraint digest; change rationale; reviewer approval; exception/waiver record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-2","AMD Vivado","Command manifest; option snapshot; tool version; security-option record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-3","AMD Vivado","Constraint history; build-resource log; failure record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"TENV-1","AMD Vivado","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-2","AMD Vivado","License file/server record; license report; feature log; build log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-3","AMD Vivado","Tool version; IP status or upgrade log; installation manifest; database-version record","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TRN-1","AMD Vivado","Input-output digest chain; synthesis log","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-2","AMD Vivado","Seed/options manifest; checkpoint digest; route lineage","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-3","AMD Vivado","Build-resource log; options history; route failure record","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"RPT-1","AMD Vivado","Report digest; generator command; timestamp; exception/waiver record","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-2","AMD Vivado","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
