vendor,tool_version,flow_stage,artifact_path,artifact_type,artifact_role,protected_property,provenance_evidence,mapped_threat_ids
"Microchip Libero SoC","Libero SoC 2025.2","CI/CD Artifact Management",".\libero\build_libero.ps1",".ps1","Flow wrapper script","release provenance; command history; auditability","sha256=B56991BE4B5C7E1D83B9B478372A183E7A62378434AC9758DFD52A4AAC60AC56; mtime=2026-06-12T04:04:01.7495127Z; size=1082","REL-1;REL-2;RPT-2"
"Microchip Libero SoC","Libero SoC 2025.2","CI/CD Artifact Management",".\libero\build_libero.tcl",".tcl","Flow command script","release provenance; command history; auditability","sha256=6B48A010035742D84368E916CF04DF869EA82F4E79F09652F3E493FEAE0EDF2E; mtime=2026-06-12T04:03:57.0148926Z; size=5157","REL-1;REL-2;RPT-2"
"Microchip Libero SoC","Libero SoC 2025.2","Constraint and Configuration",".\libero\top.sdc",".sdc","Timing constraints","configuration integrity; design intent traceability","sha256=57BA77D6D2CBFCA8D52152A3C021919244611633863BE6DCD9640812341E4024; mtime=2026-05-04T10:47:10.3566479Z; size=59","CFG-1;CFG-2;CFG-3"
"Microchip Libero SoC","Libero SoC 2025.2","Constraint and Configuration",".\libero\top_b.sdc",".sdc","Timing constraints","configuration integrity; design intent traceability","sha256=D194F18B4D9343AD1C5EA4DBCAF5E86AD9B1F8D0EA55BC3801E425D7C2EDCDC7; mtime=2026-06-12T04:02:44.3900268Z; size=219","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","CI/CD Artifact Management",".\quartus\build_quartus.ps1",".ps1","Flow wrapper script","release provenance; command history; auditability","sha256=03695E12414FFC8EBA6ADED5EE325449DD857F2D4CDC4703598CF9C999298D74; mtime=2026-06-12T04:03:31.3120060Z; size=2475","REL-1;REL-2;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","CI/CD Artifact Management",".\quartus\create_project.tcl",".tcl","Flow command script","release provenance; command history; auditability","sha256=CF17B180B55404379099AABFE452CFF4B0CF5EC2EA9269045BC0F4FB3876F29C; mtime=2026-05-04T10:53:39.7456300Z; size=1555","REL-1;REL-2;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","CI/CD Artifact Management",".\quartus\create_project_b.tcl",".tcl","Flow command script","release provenance; command history; auditability","sha256=15A43CBEEA1F222F585F4E7550F31811A2CE39F964D77EEA2E7D2E04A21CF4EF; mtime=2026-06-12T04:03:21.0617823Z; size=947","REL-1;REL-2;RPT-2"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\quartus\top.sdc",".sdc","Timing constraints","configuration integrity; design intent traceability","sha256=FAA968681CAD7B7BF5813BDCB02725B0E9530F2715F1DD823E1AA773C0D442ED; mtime=2026-05-04T10:47:10.3556321Z; size=61","CFG-1;CFG-2;CFG-3"
"Intel Quartus Prime Pro","Quartus Pro 26.1","Constraint and Configuration",".\quartus\top_b.sdc",".sdc","Timing constraints","configuration integrity; design intent traceability","sha256=FC6A1FB992593253B19D0CFA31C43850957F100332722F23E20CB17F994CF869; mtime=2026-06-12T04:02:42.7026423Z; size=206","CFG-1;CFG-2;CFG-3"
"Common Design Input","not applicable","CI/CD Artifact Management",".\results\cross_vendor_artifact_inventory.csv",".csv","Provenance/evaluation manifest","release provenance; command history; auditability","sha256=23B5FEF328BBB7ED04D75F1D494AB1B7053E6FF4E37661690D85EBE16EBEA4AA; mtime=2026-06-12T04:49:18.2649974Z; size=131","REL-1;REL-2;RPT-2"
"Common Design Input","not applicable","CI/CD Artifact Management",".\results\experiment_environment.csv",".csv","Provenance/evaluation manifest","release provenance; command history; auditability","sha256=0A0E86E225720A462C283812C1134470E1310C686F630DD5DF2FD056AC286980; mtime=2026-06-12T04:49:18.2649974Z; size=654","REL-1;REL-2;RPT-2"
"Microchip Libero SoC","Libero SoC 2025.2","Report Generation",".\results\libero\libero_script.log",".log","Tool log","report integrity; signoff provenance; confidentiality","sha256=BE6037FCF4E955997CB946750FEC9680831266DAE60B00F240E91C17EB660882; mtime=2026-06-12T04:49:12.0463497Z; size=25412","RPT-1;RPT-2;RPT-3"
"Microchip Libero SoC","Libero SoC 2025.2","CI/CD Artifact Management",".\results\libero\libero_status.csv",".csv","Provenance/evaluation manifest","release provenance; command history; auditability","sha256=020BFB7669E2BBAAEE2F9252DDEF8DDE47D3814B0BF7327887033F2E102F65B3; mtime=2026-06-12T04:49:11.9992028Z; size=799","REL-1;REL-2;RPT-2"
"Microchip Libero SoC","Libero SoC 2025.2","Synthesis/Implementation Transformation",".\results\libero\project_b\ap_stride_libero_b.prjx",".prjx","Toolchain artifact","transformation lineage; checkpoint integrity","sha256=6C6003B9E20F4F57F797B6390D4830ECCF8AEA720843976ABA21ACED5E2D6F6C; mtime=2026-06-12T04:49:12.0150466Z; size=6498","TRN-1;TRN-2;TRN-3;RPT-2"
"Microchip Libero SoC","Libero SoC 2025.2","HDL/IP Input",".\results\libero\project_b\component\syn_comps.v",".v","HDL source","source identity; integrity; confidentiality","sha256=1460FDE691C88D34D416C6EB63450F955CD657BF07C71063D2B09542553E1674; mtime=2026-06-12T04:45:47.4210587Z; size=503210","SIP-1;SIP-2;SIP-3"
"Microchip Libero SoC","Libero SoC 2025.2","Report Generation",".\results\libero\project_b\constraint\placer_sdc_errors.log",".log","Tool log","report integrity; signoff provenance; confidentiality","sha256=655C90430A86CC4DCE5C1943E095F802FF43DFD94E1461F847ED30EDF6CDECC6; mtime=2026-06-12T04:45:59.0304557Z; size=30","RPT-1;RPT-2;RPT-3"
"Microchip Libero SoC","Libero SoC 2025.2","Report Generation",".\results\libero\project_b\constraint\synthesis_sdc_errors.log",".log","Tool log","report integrity; signoff provenance; confidentiality","sha256=655C90430A86CC4DCE5C1943E095F802FF43DFD94E1461F847ED30EDF6CDECC6; mtime=2026-06-12T04:45:47.4058661Z; size=30","RPT-1;RPT-2;RPT-3"
"Microchip Libero SoC","Libero SoC 2025.2","Report Generation",".\results\libero\project_b\constraint\timing_sdc_errors.log",".log","Tool log","report integrity; signoff provenance; confidentiality","sha256=655C90430A86CC4DCE5C1943E095F802FF43DFD94E1461F847ED30EDF6CDECC6; mtime=2026-06-12T04:46:48.8433072Z; size=30","RPT-1;RPT-2;RPT-3"
"Microchip Libero SoC","Libero SoC 2025.2","Constraint and Configuration",".\results\libero\project_b\designer\top_b\clocklist.txt",".txt","Toolchain artifact","configuration integrity; design intent traceability","sha256=4D9CABAC43853FA2A59DEDB9D7EC3495586713F8DA289DC32D9FFE38E0F61DB0; mtime=2026-06-12T04:47:05.4057744Z; size=55","CFG-1;CFG-2;CFG-3"
